vertex_1,vertex_2,diameter,length,flow_rate,rbc_velocity,ht,rbc_probability
5,10,2.4e-05,2.141348460451408e-05,-2.3552196628501238e-15,-7.142418755149279e-06,0.3,0.2456825293648724
5,79,4.703518867399999e-06,4.899781312642294e-05,-1.3958788834942238e-16,-1.0099120206008636e-05,0.3,0.9468608451745875
6,23,2.5849496842e-05,6.218716597242557e-05,1.9754201001496663e-15,5.133525425205391e-06,0.3,0.2952730838016477
6,24,2.0909374238e-05,3.182696920902816e-05,-1.5061601468441473e-15,-6.078303848905111e-06,0.3,0.713342242110224
7,17,5.7912335396e-06,9.65753420716278e-05,-2.2664464391759384e-15,-0.0001141681977907,0.3,0.3333333333333333
7,33,6.817298412399999e-06,0.0001055042742597,1.872830507335773e-15,7.01889765510598e-05,0.3,0.3333333333333333
4,8,2.4e-05,3.643053561740387e-05,-5.376361417729797e-15,-1.6304307080208804e-05,0.3,1.0
8,14,2.4e-05,0.0003136124580261,-4.947932125540009e-15,-1.5005056118585696e-05,0.3,0.25832432460546806
8,713,9.6000003814e-06,0.0001475164675685,-4.2842929218998197e-16,-8.368107456538735e-06,0.3,0.8316014285947821
9,29,4.238477706999999e-06,3.612022690677111e-05,2.2382971258468583e-16,1.9293642209989004e-05,0.3,0.22796078294612004
9,13,4.6111645698e-06,4.11160981605601e-05,8.921070951941024e-17,6.675269722326232e-06,0.3,0.764460411161156
10,246,6.6572799682e-06,0.0001939360227919,-2.7782346443955645e-16,-1.0877243376600409e-05,0.3,0.4743814624614085
10,71,2.4e-05,0.0001670720357256,-2.0773961984114827e-15,-6.299893722632439e-06,0.3,0.6293261951088751
11,58,2.4732089042e-06,0.0001008712705998,-6.821443857316019e-18,-1.419923101198188e-06,0.3,0.3333333333333333
11,27,7.0183916092e-06,9.188905057061256e-05,-9.14898578516833e-16,-3.2492882013635603e-05,0.3,0.3333333333333333
11,38,7.0516505242e-06,3.5805789449927346e-05,9.217200223741466e-16,3.244914228575296e-05,0.3,0.3333333333333333
12,15,7.313676357199999e-06,2.22672202345721e-05,-1.9740219820343598e-16,-6.492693364919912e-06,0.3,0.21889843859623254
12,74,6.179308414399999e-06,6.18727285155818e-05,-5.662586729467353e-17,-2.539141512540165e-06,0.3,0.7987304075726006
13,222,4.609482288399999e-06,0.0001406086630684,9.640794543129663e-17,7.218268266696088e-06,0.3,0.14177159684557072
13,88,3.4715163708e-06,3.250913196383238e-05,-7.197235911885996e-18,-8.598268280952514e-07,0.3,0.8969415401473362
14,98,1.00206279754e-05,4.643393540575588e-05,-1.8977584493199958e-15,-3.407525216579235e-05,0.3,1.0
15,18,5.013195514599999e-06,3.094938298937632e-05,-8.482550821522408e-17,-5.502222995897653e-06,0.3,0.2542197411065771
15,20,5.674064636199999e-06,2.90204508012418e-05,-1.1257668998821688e-16,-5.880597945335335e-06,0.3,0.7372285607685156
16,18,2.935755968e-06,6.684742001026995e-05,6.429020543204274e-18,1.003363519069726e-06,0.3,0.3333333333333333
16,19,4.4392352104e-06,1.3170843917394794e-05,-4.80880482787174e-17,-3.836408893504736e-06,0.3,0.3333333333333333
16,85,4.604613781e-06,5.187685726179281e-05,4.165902773551354e-17,3.124686161423266e-06,0.3,0.3333333333333333
17,35,8e-06,0.000110211016562,-5.257429635284143e-15,-0.0001460051951514,0.3,0.22296314285476018
17,234,6.5790290832e-06,0.0001001358200039,2.990983196108215e-15,0.0001196677108203,0.3,0.7971255838084612
18,141,4.9060659408e-06,4.6901436809245645e-05,-7.839648767201958e-17,-5.277747211667934e-06,0.3,1.0
19,20,2.459624052e-06,0.0001369710467053,1.1518512266624841e-18,2.424203340238847e-07,0.3,0.4181900194061498
19,68,4.128042698e-06,4.775517243930367e-05,-4.9239899505379824e-17,-4.4345464116243086e-06,0.3,0.6170146497516764
20,190,4.8981599808e-06,6.270455542867998e-05,-1.1142483876155377e-16,-7.522045698927228e-06,0.3,1.0
