vertex_1,vertex_2,diameter,length,flow_rate,rbc_velocity,ht
1,46,1e-05,0.000257633049686,-4.902339125885494e-15,-8.838174204733141e-05,0.3
1,59,8.724498748799999e-06,7.141129773093702e-05,3.535940217727753e-15,8.317025687749835e-05,0.3
46,81,3.6e-05,9.90647521920774e-05,-1.2133380878787065e-13,-0.0001576008369016,0.3
59,300,5.4867858886e-06,7.097177566325209e-05,1.1453196112655689e-15,6.348120514437802e-05,0.3
59,338,5.165966034e-06,0.0001356025924495,8.093031481773366e-16,4.983847097692775e-05,0.3
59,1040,6.555931091399999e-06,0.0002453650484224,1.5813174582848345e-15,6.36762578198734e-05,0.3
